game_id,title,korean_title,rank,min_players,max_players,playing_time,weight,thumbnail_url,image_url
224517,Brass: Birmingham,브라스: 버밍엄,1,2,4,120,3.861,https://cf.geekdo-images.com/x3zxjr-Vw5iU4yDPg70Jgw__small/img/o18rjEemoWaVru9Y2TyPwuIaRfE=/fit-in/200x150/filters:strip_icc()/pic3490053.jpg,https://cf.geekdo-images.com/x3zxjr-Vw5iU4yDPg70Jgw__original/img/FpyxH41Y6_ROoePAilPNEhXnzO8=/0x0/filters:format(jpeg)/pic3490053.jpg
342942,Ark Nova,아크 노바,2,1,4,150,3.7971,,
161936,Pandemic Legacy: Season 1,팬데믹 레거시: 시즌 1,3,2,4,60,2.828,https://cf.geekdo-images.com/-Qer2BBPG7qGGDu6KcVDIw__small/img/NQQcjS31TO0DE246N9rpt0hd9eo=/fit-in/200x150/filters:strip_icc()/pic2452831.png,https://cf.geekdo-images.com/-Qer2BBPG7qGGDu6KcVDIw__original/img/PlzAH7swN1nsFxOXbfUvE3TkE5w=/0x0/filters:format(png)/pic2452831.png
174430,Gloomhaven,글룸헤이븐,4,1,4,120,3.919,,
397598,Dune: Imperium – Uprising,듄: 임페리움 - 봉기,5,1,6,120,3.522,,
316554,Dune: Imperium,듄: 임페리움,6,1,4,120,3.0778,https://cf.geekdo-images.com/PhjygpWSo-0labGrPBMyyg__small/img/JGgY-nBmkyB8WRp8vcoBLlNMQ5U=/fit-in/200x150/filters:strip_icc()/pic5666597.jpg,https://cf.geekdo-images.com/PhjygpWSo-0labGrPBMyyg__original/img/mZzaBAEEJpMlHWWmC0R6Su0OibQ=/0x0/filters:format(jpeg)/pic5666597.jpg
233078,Twilight Imperium: Fourth Edition,여명의 제국 (4판),7,3,6,480,4.3555,,
115746,War of the Ring: Second Edition,반지 전쟁 (2판),8,2,4,240,4.2275,,
167791,Terraforming Mars,테라포밍 마스,9,1,5,120,3.2728,https://cf.geekdo-images.com/wg9oOLcsKvDesSUdZQ4rxw__small/img/BTxqxgYay5tHJfVoJ2NF5g43_gA=/fit-in/200x150/filters:strip_icc()/pic3536616.jpg,https://cf.geekdo-images.com/wg9oOLcsKvDesSUdZQ4rxw__original/img/thIqWDnH9utKuoKVEUqveDixprI=/0x0/filters:format(jpeg)/pic3536616.jpg
187645,Star Wars: Rebellion,스타워즈: 리벨리온,10,2,4,240,3.7537,,
162886,Spirit Island,정령섬,11,1,4,120,4.0738,,
291457,Gloomhaven: Jaws of the Lion,글룸헤이븐: 사자의 턱,12,1,4,120,3.6395,,
220308,Gaia Project,가이아 프로젝트,13,1,4,150,4.4022,,
12333,Twilight Struggle,황혼의 투쟁,14,2,2,180,3.6152,,
84876,The Castles of Burgundy,버건디의 성,15,2,4,90,2.9703,https://cf.geekdo-images.com/sH2YTQ10dHj1ibfS-KKtGA__small/img/f5zFXdTcH9RNY0iMNBppd8D-_r0=/fit-in/200x150/filters:strip_icc()/pic8745814.jpg,https://cf.geekdo-images.com/sH2YTQ10dHj1ibfS-KKtGA__original/img/L_gsMsuhbAe0kyq1QLAmyeKOeSs=/0x0/filters:format(jpeg)/pic8745814.jpg
418059,SETI: Search for Extraterrestrial Intelligence,세티: 외계의 지성체를 찾아서,16,1,4,160,3.8291,,
338960,Slay the Spire: The Board Game,슬레이 더 스파이어,17,1,4,150,2.9008,,
182028,Through the Ages: A New Story of Civilization,쓰루 디 에이지스: 문명에 관한 새로운 이야기,18,2,4,120,4.4427,,
421006,The Lord of the Rings: Duel for Middle-earth,반지의 제왕: 가운데땅에서의 대결,19,2,2,30,2.0713,https://cf.geekdo-images.com/EybxJlUc9rz7F7HVFLqsdw__small/img/rojFW0-h-bteedVG4aJXG1x7V0o=/fit-in/200x150/filters:strip_icc()/pic8378939.jpg,https://cf.geekdo-images.com/EybxJlUc9rz7F7HVFLqsdw__original/img/Ts4M5eOW38r2oTvJmkx0uwNodv4=/0x0/filters:format(jpeg)/pic8378939.jpg
193738,Great Western Trail,그레이트 웨스턴 트레일,20,2,4,150,3.695,,
295770,Frosthaven,프로스트헤이븐,21,1,4,180,4.4074,,
28720,Brass: Lancashire,브라스: 랭커셔,22,2,4,120,3.844,,
246900,Eclipse: Second Dawn for the Galaxy,이클립스: 두 번째 여명,23,2,6,200,3.6667,,
173346,7 Wonders Duel,7 원더스 대결,24,2,2,30,2.2272,https://cf.geekdo-images.com/zdagMskTF7wJBPjX74XsRw__small/img/gV1-ckZSIC-dCxxpq1Y7GmPITzQ=/fit-in/200x150/filters:strip_icc()/pic2576399.jpg,https://cf.geekdo-images.com/zdagMskTF7wJBPjX74XsRw__original/img/Ju836WNSaW7Mab9Vjq2TJ_FqhWQ=/0x0/filters:format(jpeg)/pic2576399.jpg
167355,Nemesis,네메시스,25,1,5,180,3.4889,,
169786,Scythe,사이드,26,1,5,115,3.452,,
177736,A Feast for Odin,오딘을 위하여,27,1,4,120,3.8688,,
266507,Clank! Legacy: Acquisitions Incorporated,클랭크! 레거시: 전리품 주식회사,28,2,4,120,2.7396,https://cf.geekdo-images.com/hc2NDafu5c24iLJh_IZmyg__small/img/8TA1Gn7jERN4yhtXD-xBCGk-QfM=/fit-in/200x150/filters:strip_icc()/pic4885780.png,https://cf.geekdo-images.com/hc2NDafu5c24iLJh_IZmyg__original/img/1Fpyz7j7rTvMPRiDdPjn0Vf0m2k=/0x0/filters:format(png)/pic4885780.png
124361,Concordia,콩코르디아,29,2,5,100,2.9871,,
312484,Lost Ruins of Arnak,아르낙의 잊혀진 유적,30,1,4,120,2.9324,,
341169,Great Western Trail: Second Edition,그레이트 웨스턴 트레일 (2판),31,1,4,150,3.7021,,
205637,Arkham Horror: The Card Game,아컴 호러: 카드 게임,32,1,2,120,3.5652,,
373106,Sky Team,스카이 팀,33,2,2,20,2.0419,https://cf.geekdo-images.com/uXMeQzNenHb3zK7Hoa6b2w__small/img/WyPClajMWU9lV5BdCXiZnqdZgmU=/fit-in/200x150/filters:strip_icc()/pic7398904.jpg,https://cf.geekdo-images.com/uXMeQzNenHb3zK7Hoa6b2w__original/img/mWOQnkpyYBorh_Y1-0Y2o-ew17k=/0x0/filters:format(jpeg)/pic7398904.jpg
237182,Root,루트,34,2,4,90,3.8391,,
120677,Terra Mystica,테라 미스티카,35,2,5,150,3.9725,,
164928,Orléans,오를레앙,36,2,5,90,3.0124,,
192135,Too Many Bones,투 매니 본즈,37,1,4,120,3.8696,,
266192,Wingspan,윙스팬,38,1,5,70,2.481,,
96848,Mage Knight Board Game,메이지 나이트,39,1,4,240,4.3776,,
251247,Barrage,버라지,40,1,4,180,4.1151,,
321608,Hegemony: Lead Your Class to Victory,헤게모니: 당신의 사회 계층을 승리로 이끄세요,41,2,4,180,4.2549,,
199792,Everdell,에버델,42,1,4,80,2.835,https://cf.geekdo-images.com/fjE7V5LNq31yVEW_yuqI-Q__small/img/Cf_mYxR_VvdjTEPXseSurni2JNI=/fit-in/200x150/filters:strip_icc()/pic3918905.png,https://cf.geekdo-images.com/fjE7V5LNq31yVEW_yuqI-Q__original/img/HQ1ti16wT9lqja5_h3gUfHUIcVI=/0x0/filters:format(png)/pic3918905.png
324856,The Crew: Mission Deep Sea,딥 씨 크루,43,2,5,20,2.0495,https://cf.geekdo-images.com/VuBqZ1sMaDAVVHF_OEJP4g__small/img/EdacXlcFZ06YK0-ZKa0oKwL4VCw=/fit-in/200x150/filters:strip_icc()/pic5988903.jpg,https://cf.geekdo-images.com/VuBqZ1sMaDAVVHF_OEJP4g__original/img/jGWxczXC_VWZofeAmlO_DkB0hCI=/0x0/filters:format(jpeg)/pic5988903.jpg
183394,Viticulture Essential Edition,비티컬처 에센셜 에디션,44,1,6,90,2.9028,,
284378,Kanban EV,칸반 EV,45,1,4,180,4.2945,,
521,Crokinole,크로키놀,46,2,4,30,1.2253,,
366013,Heat: Pedal to the Metal,히트: 질주의 열기,47,1,6,60,2.2009,,
285774,Marvel Champions: The Card Game,마블 챔피언스: 카드 게임,48,1,4,90,2.9614,,
175914,Food Chain Magnate,푸드 체인 거물,49,2,5,240,4.1852,,
390092,Ticket to Ride Legacy: Legends of the West,티켓 투 라이드 레거시: 서부 개척,50,2,5,90,2.5625,,
247763,Underwater Cities,언더워터 시티즈,51,1,4,150,3.5891,,
